index,brand,product,name,specific,lightness,hex,lightToDark,numbers,id
0,Makeup Revolution,Conceal & Define Full Coverage Foundation,,F0,0.949019607843137,#F2F2F2,True,0.0,1.0
1,HOURGLASS,Veil Fluid Makeup,Porcelain,No. 0,0.817647058823529,#F6D3AB,True,0.0,2.0
2,TOM FORD,Traceless Soft Matte Foundation,Pearl,0.0,0.850980392156863,#F0D8C2,True,0.0,3.0
3,Armani Beauty,Neo Nude Foundation,,0,0.911764705882353,#F0E8E1,True,0.0,4.0
4,TOM FORD,Traceless Foundation Stick,Pearl,0.0,0.911764705882353,#FDE5D4,True,0.0,5.0
5,Charlotte Tilbury,Magic Foundation,,0,0.731372549019608,#D9AE9C,True,0.0,6.0
6,Bobbi Brown,Skin Weightless Powder Foundation,Porcelain,0,0.82156862745098,#F3C9B0,True,0.0,7.0
7,Givenchy,Matissime Velvet Radiant Mattifying Fluid Foundation SPF 20,,N00,0.831372549019608,#F5D8B3,True,0.0,8.0
8,Smashbox,Studio Skin 24 Hour Full Coverage Waterproof Foundation,,0.1,0.813725490196078,#F8CDA7,True,0.1,9.0
9,Smashbox,Studio Skin 24 Hour Oil-Free Hydra Foundation,,0.1,0.909803921568627,#F9E4D7,True,0.1,10.0
10,Makeup Revolution,Conceal & Define Satte Matte Powder Foundation,,P0.1,0.919607843137255,#F5E9E0,True,0.1,11.0
11,Makeup Revolution,Conceal & Define Full Coverage Foundation,,F0.1,0.756862745098039,#D4C2AE,True,0.1,1.0
12,TOM FORD,Traceless Soft Matte Foundation,Cameo,0.1,0.847058823529412,#EED8C2,True,0.1,3.0
13,TOM FORD,Traceless Foundation Stick,Cameo,0.1,0.884313725490196,#F5E2CE,True,0.1,5.0
14,Smashbox,Primer + Foundation Customizable Set,Smashbox,0.1,0.8,#E9C9AF,True,0.1,12.0
15,Smashbox,Studio Skin 24 Hour Full Coverage Waterproof Foundation,,0.2,0.758823529411765,#F0BE93,True,0.2,9.0
